CLI;CDG_UTC;CDG_Nivel4;DESC_Nivel4;CDG_Nivel5;DESC_Nivel5;CDG_Nivel6;DESC_Nivel6;LINE_DESC
BAL;0001001;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0001002;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0001003;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0001004;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0001005;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0001006;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0001007;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0001008;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0001010;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0001011;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0001012;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0002001;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0002002;3010000;3010000;3011100;3011100;3011101;3011101;BAL
BAL;0003001;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0003002;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0004001;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0004002;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0004003;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0004004;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0005001;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0005002;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0005003;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0006001;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0006002;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0006003;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0006004;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0007001;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0007002;3010000;3010000;3011100;3011100;3011105;3011105;BAL
BAL;0007003;3010000;3010000;3011100;3011100;3011105;3011105;BAL
